"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-28","0.23",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-30","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-05-31","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-01","0.02",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-05","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-08","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-09","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-15","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-16","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-17","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-18","0.40",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-19","0.19",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-22","0.71",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-23","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-24","1.02",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-25","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-26","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-27","0.10",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-28","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-06-30","0.06",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-01","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-02","0.64",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-03","0.14",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-04","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-05","1.53",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-06","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-07","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-08","0.04",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-09","0.44",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-10","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-11","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-12","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-13","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-14","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-15","2.37",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-16","1.75",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-17","0.90",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-18","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-19","0.65",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-20","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-21","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-22","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-23","0.04",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-24","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-25","0.48",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-26","0.04",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-27","0.05",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-28","0.05",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-29","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-30","0.35",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-07-31","0.29",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-01","2.61",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-02","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-03","0.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-04","2.05",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-05","5.15",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-06","1.00",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-07","0.01",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-08","1.13",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-09","0.96",",,I"
"IN011320100","REWA, IN","24.53","81.3","286.0","1940-08-10","1.12",",,I"
